 205 MANAUARA        73. 100.    2.50   0.39   0.00   0.00   0.00   0.00   0.00  35.00  35.00  64.42  64.42  64.42  64.42  64.42  64.42
 264 MANAUS I         0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 212 MARANHAO III   519. 100.    3.99   2.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00 479.32 479.32 479.32 479.32 479.32 239.82
  36 MARANHAO IV    338. 100.    1.11   0.78   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  21 MARANHAO V     338. 100.    1.16   1.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 140 MAUA 3         591.  97.   11.60   9.51   0.00   0.00   0.00   0.00   0.00 264.00 264.00 429.15 466.35 466.35 466.35 439.75 464.73
  46 N.VENECIA 2    270. 100.    6.05   6.44   0.00   0.00   0.00   0.00   0.00 148.15 152.00  81.09  81.09  81.09  81.09   0.00  40.44
 240 NT BARCARENA     0. 100.    1.10   2.05   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 580.83 290.42
 328 PALMAPLAN 2      0. 100.    0.91   1.36   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   7.05
 116 PARNAIBA IV     56. 100.    4.67   1.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 239 PARNAIBA V     365.  95.    2.05   1.22   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 329 PAU RAINHA       0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   9.15
 207 PONTA NEGRA     73. 100.    2.50   0.53   0.00   0.00   0.00   0.00   0.00  35.00  35.00  62.07  62.07  62.07  62.07  62.07  62.07
 176 PORTO ITAQUI   360. 100.    4.42   4.57   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 259 PORTOCEM I       0. 100.    1.50   2.18   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 330 SANTA LUZ        0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   9.12
 209 TAMBAQUI        93.  71.    4.00   0.00   0.00   0.00   0.00   0.00   0.00  33.00  33.00  74.54  74.54  74.54  74.54  74.54  74.54
